Subject,Distance,Context,Condition,ClassRef,RT,Vis
10,3,1,0,0,0.37744,1
10,1,0,0,1,0.31827,1
10,6,0,0,1,0.35329,1
10,6,1,0,0,0.40368,1
10,5,1,0,0,0.30251,1
10,3,0,0,1,0.27256,1
10,4,0,0,1,0.23445,1
10,2,0,0,1,0.27765,1
10,4,1,0,0,0.3063,1
10,5,0,0,1,0.26473,1
10,4,1,0,0,0.27938,1
10,3,0,0,1,0.31275,1
10,4,0,0,1,0.33209,1
10,5,1,0,0,0.31124,1
10,2,1,0,0,0.36857,1
10,1,0,0,1,0.41577,1
10,6,1,0,0,0.28973,1
10,1,1,0,0,0.2922,1
10,2,0,0,1,0.30968,1
10,3,1,0,0,0.25572,1
10,6,0,0,1,0.2588,1
10,1,1,0,0,0.66573,1
10,5,0,0,1,0.27118,1
10,6,0,0,1,0.25777,1
10,1,0,0,1,1.7745,1
10,3,1,0,0,1.8028,2
10,4,1,0,0,0.82946,2
10,2,0,0,0,0.27544,1
10,5,1,0,1,0.27464,1
10,6,1,0,1,0.28051,1
10,3,0,0,0,0.21854,1
10,2,1,0,1,0.18307,1
10,4,0,0,1,0.2763,1
10,6,1,0,0,0.31832,1
10,5,0,0,1,0.28285,1
10,3,1,0,0,0.26911,1
10,1,1,0,0,0.53257,1
10,3,0,0,1,0.30211,1
10,5,1,0,0,0.3379,1
10,6,0,0,1,0.43105,1
10,1,0,0,1,0.259,1
10,4,1,0,0,0.42344,1
11,3,1,0,1,0.3878,1
11,2,0,0,0,0.43045,1
11,5,1,0,1,NaN,1
11,6,1,0,1,0.43028,1
11,4,1,0,1,0.34387,1
11,6,0,0,0,0.3606,1
11,4,0,0,0,0.32787,1
11,1,1,0,1,0.25244,1
11,1,0,0,0,1.3238,1
11,2,1,0,1,0.35957,1
