"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"91",1174,1,0.453125,32,32,64,514.65625,6.23866047,505.03125,6.218196814,24,24,48,553,6.302417992,551.0416667,6.305406346,2,2,0,1,1,1,0,1,1,1,1,1,1
"92",1175,3,0.546875,32,32,62,486.516129,6.183703351,492.8709677,6.196039467,24,24,46,455.5416667,6.117954848,484.0454545,6.177268996,2,2,0,1,1,1,0,0,1,1,1,0.96875,0.958333333333333
"93",1179,3,0.5,32,32,64,473.25,6.151923858,477.4375,6.15959441,24,24,48,473.9166667,6.156476932,463.875,6.131514934,2,2,0,1,1,1,0,0,1,1,1,1,1
"94",1183,3,0.484375,32,32,64,519.90625,6.246950868,532.65625,6.272889823,24,24,48,522.9583333,6.254852222,520.6666667,6.248239972,2,2,0,1,1,1,0,0,1,1,1,1,1
"95",1185,4,0.515625,32,32,63,549.3225806,6.298435011,541.34375,6.286311213,24,24,46,574.9545455,6.346304466,574.4166667,6.343034915,2,2,0,1,1,1,1,0,1,1,1,0.984375,0.958333333333333
"96",1186,4,0.5,32,32,64,546.0625,6.293453429,538.8125,6.281984603,24,24,47,597.375,6.388838363,601.5652174,6.39669711,2,2,0,1,1,1,1,0,1,1,1,1,0.979166666666667
"97",1187,1,0.5,32,32,63,583.9677419,6.363437482,584.59375,6.367632598,24,24,48,619.9166667,6.42125478,612.875,6.411331197,2,2,0,1,1,1,0,1,1,1,1,0.984375,1
"98",1191,4,0.546875,32,32,60,525.4516129,6.255736607,540.5517241,6.281961349,24,24,48,520.2916667,6.248193107,524,6.258514515,2,2,0,1,1,1,1,0,1,1,1,0.9375,1
"99",1012,2,0.609375,32,32,63,526.1875,6.260217222,498.7419355,6.208921646,24,24,47,528.25,6.261531556,513.9130435,6.236432723,2,2,0,0,0,2,1,1,0,1,1,0.984375,0.979166666666667
"100",1017,3,1,32,32,61,652.5862069,6.47229534,666.96875,6.492832646,24,24,48,632.7916667,6.443696134,655.7916667,6.477199856,2,2,0,0,0,2,0,0,0,1,1,0.953125,1
"101",1032,2,0.625,32,32,63,629.65625,6.44055485,651.4516129,6.469787892,24,23,47,621.7083333,6.42704248,621.4347826,6.425419366,2,2,0,0,0,2,1,1,0,1,0.979166666666667,0.984375,0.979166666666667
"102",1051,2,0.609375,32,32,63,505.8709677,6.220110348,503.03125,6.20763908,24,24,48,518.875,6.24266569,553.4583333,6.308790192,2,2,0,0,0,2,1,1,0,1,1,0.984375,1
"103",1071,2,0.609375,32,32,64,549.90625,6.304914976,537.5625,6.283308559,24,24,48,533.375,6.273671402,529.5416667,6.267030525,2,2,0,0,0,2,1,1,0,1,1,1,1
"104",1084,4,0.625,32,32,60,551.1612903,6.305806847,561.2758621,6.324632538,24,24,48,533.5,6.276809555,557.625,6.320530662,2,2,0,0,0,2,1,0,0,1,1,0.9375,1
"105",1089,4,0.984375,32,32,59,783.8571429,6.649472322,763.3870968,6.624059037,24,24,46,743.9090909,6.598453938,755.5833333,6.616592791,2,2,0,0,0,2,1,0,0,1,1,0.921875,0.958333333333333
"106",1093,4,0.625,32,32,64,591,6.366879537,563.3125,6.317093462,24,24,48,619.4166667,6.42198493,604.875,6.39637987,2,2,0,0,0,2,1,0,0,1,1,1,1
"107",1094,4,0.625,32,32,63,590.4516129,6.373193887,578.1875,6.352796239,24,24,48,608.8333333,6.406556844,581.5416667,6.359614857,2,2,0,0,0,2,1,0,0,1,1,0.984375,1
"108",1104,3,0.625,32,32,62,551.6333333,6.304779674,532.875,6.268352179,24,24,48,461.7916667,6.130701603,442.2083333,6.08843484,2,2,0,0,0,2,0,0,0,1,1,0.96875,1
"109",1108,2,0.78125,32,32,63,461.75,6.129137792,455.8064516,6.115353722,24,24,47,473.6086957,6.15544694,493.0416667,6.195417085,2,2,0,0,0,2,1,1,0,1,1,0.984375,0.979166666666667
"110",1114,1,0.75,32,32,64,529.21875,6.26546919,540.9375,6.282062431,24,24,48,506.2916667,6.219602185,519.75,6.248537647,2,2,0,0,0,2,0,1,0,1,1,1,1
"111",1125,2,0.609375,32,32,63,501.28125,6.207681568,505.9354839,6.209599449,24,24,45,474.7916667,6.158706743,497.9047619,6.204610929,2,2,0,0,0,2,1,1,0,1,1,0.984375,0.9375
"112",1126,3,0.609375,32,32,63,488.1612903,6.183710991,468.1875,6.142550578,24,24,45,477.4782609,6.157225657,475,6.157466872,2,2,0,0,0,2,0,0,0,1,1,0.984375,0.9375
"113",1130,3,0.671875,32,32,62,468.483871,6.143835967,462.7741935,6.132212717,24,24,48,467.2083333,6.140414404,478.5416667,6.166884025,2,2,0,0,0,2,0,0,0,1,1,0.96875,1
"114",1137,1,0.625,32,32,64,522.375,6.251892154,491.3125,6.189499863,24,24,47,494.4782609,6.200891601,505.75,6.219433723,2,2,0,0,0,2,0,1,0,1,1,1,0.979166666666667
"115",1146,3,0.671875,32,32,62,673.5,6.504190839,637.65625,6.451913762,24,24,47,619.375,6.422607244,599.6086957,6.387811547,2,2,0,0,0,2,0,0,0,1,1,0.96875,0.979166666666667
"116",1147,4,0.921875,32,32,64,548.6875,6.296441526,562.8125,6.324698001,24,24,48,548.5416667,6.294173909,536.875,6.281099973,2,2,0,0,0,2,1,0,0,1,1,1,1
"117",1149,1,0.625,32,32,63,564.9375,6.329985722,563.4193548,6.325362304,24,24,48,562.125,6.322501145,591.4166667,6.375799532,2,2,0,0,0,2,0,1,0,1,1,0.984375,1
"118",1170,1,0.640625,32,32,63,513.7741935,6.236651933,500.90625,6.211022721,24,24,48,543.125,6.284498075,522.375,6.25237125,2,2,0,0,0,2,0,1,0,1,1,0.984375,1
"119",1022,3,0.5625,32,32,62,463.625,6.133203694,468.1666667,6.143753665,24,24,48,472.2916667,6.151946361,458.9166667,6.125925451,2,1,2,1,0,3,0,0,0,1,1,0.96875,1
"120",1033,1,0.4375,32,32,62,693.8387097,6.518685231,630.7096774,6.431019966,24,24,46,669.0434783,6.497548248,629.7826087,6.431975302,2,1,2,1,0,3,0,1,0,1,1,0.96875,0.958333333333333
"121",1041,2,0.5,32,32,63,538.9354839,6.284129444,554.59375,6.316136306,24,24,47,556.5416667,6.316674341,544.4347826,6.295984014,2,1,1,1,0,3,1,1,0,1,1,0.984375,0.979166666666667
"122",1048,2,0.515625,32,32,64,598.5,6.378190733,606.46875,6.397209973,24,24,48,646.3333333,6.457355018,615.875,6.414523457,2,1,1,1,0,3,1,1,0,1,1,1,1
"123",1059,2,0.59375,32,32,63,519.78125,6.245315114,493.8064516,6.193265113,24,24,47,540.625,6.283309175,521.6521739,6.251967861,2,1,2,1,0,3,1,1,0,1,1,0.984375,0.979166666666667
"124",1069,4,0.4375,32,32,62,671.483871,6.500694315,707.1290323,6.548693832,24,24,48,648.4166667,6.461733895,669.4166667,6.499035105,2,1,2,1,0,3,1,0,0,1,1,0.96875,1
